2015-10-14 18:54:28.5278|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 40 at GitClient.cs:496 after blocking 0.0090281s
2015-10-14 18:54:28.5278|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 37 at GitClient.cs:496 after blocking 0.0674674s
2015-10-14 18:54:28.5435|INFO|thread: 5|AsyncReaderWriterLock|Released concurrent scheduler for operation: 34 at GitClient.cs:496 after blocking 0.3099182s
2015-10-14 18:54:29.4447|INFO|thread:17|SoftwareUpdateViewModel|Checking for new version
2015-10-14 18:54:29.8374|INFO|thread: 9|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 41 at GitClient.cs:496
2015-10-14 18:54:29.8374|INFO|thread: 5|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 41 at GitClient.cs:496 after waiting 1.8E-05s
2015-10-14 18:54:29.8374|INFO|thread:17|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 42 at GitClient.cs:496
2015-10-14 18:54:29.8374|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 42 at GitClient.cs:496 after waiting 0.0044859s
2015-10-14 18:54:29.8374|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 42 at GitClient.cs:496 after blocking 0.0076209s
2015-10-14 18:54:29.8646|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 41 at GitClient.cs:496 after blocking 0.0267478s
2015-10-14 18:54:29.8646|INFO|thread: 9|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 43 at GitClient.cs:496
2015-10-14 18:54:29.8646|INFO|thread: 5|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 43 at GitClient.cs:496 after waiting 1.76E-05s
2015-10-14 18:54:29.8804|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 43 at GitClient.cs:496 after blocking 0.0112415s
2015-10-14 18:54:29.8804|INFO|thread:17|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 44 at GitClient.cs:496
2015-10-14 18:54:29.8804|INFO|thread: 9|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 44 at GitClient.cs:496 after waiting 2.08E-05s
2015-10-14 18:54:29.8804|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 44 at GitClient.cs:496 after blocking 0.0062562s
2015-10-14 18:54:29.9420|INFO|thread: 9|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 45 at GitClient.cs:496
2015-10-14 18:54:29.9420|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 45 at GitClient.cs:496 after waiting 1.55E-05s
2015-10-14 18:54:29.9420|INFO|thread: 5|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 46 at GitClient.cs:496
2015-10-14 18:54:29.9420|INFO|thread: 5|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 46 at GitClient.cs:496 after waiting 5.87E-05s
2015-10-14 18:54:29.9620|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 45 at GitClient.cs:496 after blocking 0.0200658s
2015-10-14 18:54:29.9620|INFO|thread: 5|AsyncReaderWriterLock|Released concurrent scheduler for operation: 46 at GitClient.cs:496 after blocking 0.017381s
2015-10-14 18:54:30.7142|INFO|thread: 5|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 47 at GitClient.cs:496
2015-10-14 18:54:30.7142|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 47 at GitClient.cs:496 after waiting 1.69E-05s
2015-10-14 18:54:30.7262|INFO|thread: 5|AsyncReaderWriterLock|Released concurrent scheduler for operation: 47 at GitClient.cs:496 after blocking 0.0110833s
2015-10-14 18:54:33.9631|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 48 at GitClient.cs:403
2015-10-14 18:54:33.9631|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 48 at GitClient.cs:403 after waiting 9.44E-05s
2015-10-14 18:54:33.9631|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 49 at GitClient.cs:403
2015-10-14 18:54:33.9631|INFO|thread:13|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 49 at GitClient.cs:403 after waiting 0.0001631s
2015-10-14 18:54:33.9801|INFO|thread:30|GitEnvironment|Process set up with this SSH Agent info: 14188:/tmp/ssh-CD9AdbNpkQhZ/agent.8788
2015-10-14 18:54:33.9801|INFO|thread:30|GitEnvironment|PATH is C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\bb\AppData\Local\Apps\2.0\PR35Z5DX.728\PLRMQ6RL.VQ9\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\bb\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Program Files (x86)\MSBuild\12.0\bin;C:\WINDOWS\System32
2015-10-14 18:54:33.9801|INFO|thread:30|ProcessWrapper|Starting: Process - FileName: 'C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'diff-tree --root -m -r -z --name-status cc92094d5ba468442bab8bae26d8f6178aa7cfb5 ', Working Directory: C:\Users\bb\Documents\GitHub\RepoWetek\
2015-10-14 18:54:33.9801|INFO|thread: 9|GitEnvironment|Process set up with this SSH Agent info: 14188:/tmp/ssh-CD9AdbNpkQhZ/agent.8788
2015-10-14 18:54:33.9801|INFO|thread: 9|GitEnvironment|PATH is C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\bb\AppData\Local\Apps\2.0\PR35Z5DX.728\PLRMQ6RL.VQ9\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\bb\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Program Files (x86)\MSBuild\12.0\bin;C:\WINDOWS\System32
2015-10-14 18:54:33.9801|INFO|thread: 9|ProcessWrapper|Starting: Process - FileName: 'C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'diff-tree --root -m -r -z --name-status cc92094d5ba468442bab8bae26d8f6178aa7cfb5 ', Working Directory: C:\Users\bb\Documents\GitHub\RepoWetek\
2015-10-14 18:54:34.0182|INFO|thread:30|GitEnvironment|Process set up with this SSH Agent info: 14188:/tmp/ssh-CD9AdbNpkQhZ/agent.8788
2015-10-14 18:54:34.0182|INFO|thread:30|GitEnvironment|PATH is C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\bb\AppData\Local\Apps\2.0\PR35Z5DX.728\PLRMQ6RL.VQ9\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\bb\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Program Files (x86)\MSBuild\12.0\bin;C:\WINDOWS\System32
2015-10-14 18:54:34.0182|INFO|thread:30|ProcessWrapper|Starting: Process - FileName: 'C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'diff-tree --root -m -r -z --numstat cc92094d5ba468442bab8bae26d8f6178aa7cfb5 ', Working Directory: C:\Users\bb\Documents\GitHub\RepoWetek\
2015-10-14 18:54:34.0512|INFO|thread: 9|GitEnvironment|Process set up with this SSH Agent info: 14188:/tmp/ssh-CD9AdbNpkQhZ/agent.8788
2015-10-14 18:54:34.0512|INFO|thread: 9|GitEnvironment|PATH is C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\bb\AppData\Local\Apps\2.0\PR35Z5DX.728\PLRMQ6RL.VQ9\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\bb\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Program Files (x86)\MSBuild\12.0\bin;C:\WINDOWS\System32
2015-10-14 18:54:34.0512|INFO|thread: 9|ProcessWrapper|Starting: Process - FileName: 'C:\Users\bb\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'diff-tree --root -m -r -z --numstat cc92094d5ba468442bab8bae26d8f6178aa7cfb5 ', Working Directory: C:\Users\bb\Documents\GitHub\RepoWetek\
2015-10-14 18:54:34.3034|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 50 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3034|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 50 at ICommittedFileForklift.cs:59 after waiting 0.0016273s
2015-10-14 18:54:34.3034|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 51 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3034|INFO|thread:34|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 51 at ICommittedFileForklift.cs:59 after waiting 0.0001436s
2015-10-14 18:54:34.3184|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 52 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3184|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 53 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3364|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 54 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3364|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 55 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3364|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 56 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3464|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 57 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3464|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 58 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3464|INFO|thread:32|AsyncReaderWriterLock|Released concurrent scheduler for operation: 50 at ICommittedFileForklift.cs:59 after blocking 0.0441398s
2015-10-14 18:54:34.3464|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 52 at ICommittedFileForklift.cs:59 after waiting 0.0306855s
2015-10-14 18:54:34.3464|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 59 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3664|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 60 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3664|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 52 at ICommittedFileForklift.cs:59 after blocking 0.0216687s
2015-10-14 18:54:34.3664|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 53 at ICommittedFileForklift.cs:59 after waiting 0.0477101s
2015-10-14 18:54:34.3664|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 61 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3664|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 62 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3834|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 63 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3834|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 64 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3834|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 65 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3934|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 66 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3934|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 67 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3934|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 68 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.3934|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 69 at ICommittedFileForklift.cs:59
2015-10-14 18:54:34.4655|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 53 at ICommittedFileForklift.cs:59 after blocking 0.0947854s
